item_word,item_image,relation
沙发,non-animate/n20.jpg,match
邮票,non-animate/n62.jpg,match
轮船,non-animate/n78.jpg,match
卡车,non-animate/n68.jpg,match
钢琴,non-animate/n27.jpg,match
酒精,non-animate/n79.jpg,match
足球,non-animate/n66.jpg,match
腰带,non-animate/n45.jpg,match
钥匙,non-animate/n43.jpg,match
镜子,non-animate/n61.jpg,match
手表,non-animate/n80.jpg,match
核桃,non-animate/n22.jpg,match
啤酒,non-animate/n71.jpg,match
电脑,non-animate/n4.jpg,match
大门,non-animate/n49.jpg,match
河流,non-animate/n55.jpg,match
扇子,non-animate/n44.jpg,match
喇叭,non-animate/n52.jpg,match
冰块,non-animate/n25.jpg,match
西瓜,non-animate/n9.jpg,match
毛巾,non-animate/n18.jpg,match
电线,non-animate/n1.jpg,match
灯泡,non-animate/n72.jpg,match
信封,non-animate/n53.jpg,match
药品,non-animate/n8.jpg,match
桌子,non-animate/n77.jpg,match
教室,non-animate/n58.jpg,match
太阳,non-animate/n14.jpg,match
米饭,non-animate/n23.jpg,match
筷子,non-animate/n33.jpg,match
枕头,non-animate/n31.jpg,match
岛屿,non-animate/n56.jpg,match
抽屉,non-animate/n50.jpg,match
书包,non-animate/n42.jpg,match
麻将,non-animate/n60.jpg,match
戒指,non-animate/n24.jpg,match
医生,animate/a29.jpg,nomatch
松鼠,animate/a10.jpg,nomatch
蚯蚓,animate/a73.jpg,nomatch
蜗牛,animate/a2.jpg,nomatch
警察,animate/a19.jpg,nomatch
犯人,animate/a12.jpg,nomatch
皇帝,animate/a7.jpg,nomatch
农民,animate/a21.jpg,nomatch
记者,animate/a5.jpg,nomatch
燕子,animate/a69.jpg,nomatch
乌鸦,animate/a15.jpg,nomatch
乞丐,animate/a65.jpg,nomatch
画家,animate/a38.jpg,nomatch
骑兵,animate/a6.jpg,nomatch
蜜蜂,animate/a26.jpg,nomatch
海豚,animate/a13.jpg,nomatch
野猪,animate/a76.jpg,nomatch
螳螂,animate/a30.jpg,nomatch
蜻蜓,animate/a51.jpg,nomatch
司机,animate/a17.jpg,nomatch
樱桃,non-animate/n29.jpg,nomatch
红色,non-animate/n10.jpg,nomatch
香蕉,non-animate/n73.jpg,nomatch
漫画,non-animate/n2.jpg,nomatch
番茄,non-animate/n19.jpg,nomatch
钢笔,non-animate/n12.jpg,nomatch
帽子,non-animate/n7.jpg,nomatch
火车,non-animate/n21.jpg,nomatch
月亮,non-animate/n5.jpg,nomatch
白菜,non-animate/n69.jpg,nomatch
牙齿,non-animate/n15.jpg,nomatch
绳子,non-animate/n65.jpg,nomatch
火焰,non-animate/n38.jpg,nomatch
椅子,non-animate/n6.jpg,nomatch
汽车,non-animate/n26.jpg,nomatch
桥梁,non-animate/n13.jpg,nomatch
电视,non-animate/n76.jpg,nomatch
花瓶,non-animate/n30.jpg,nomatch
炸弹,non-animate/n51.jpg,nomatch
苹果,non-animate/n17.jpg,nomatch
